minvikt;maxvikt;belopp;fordonsklass;drivmedel;axlar;vägavgiftsplikt;draganordning
0;1 300;889;lätt;ej diesel;i.u.;i.u.;i.u.
1 301;1 400;1 098;lätt;ej diesel;i.u.;i.u.;i.u.
1 401;1 500;1 285;lätt;ej diesel;i.u.;i.u.;i.u.
1 501;1 600;1 472;lätt;ej diesel;i.u.;i.u.;i.u.
1 601;1 700;1 660;lätt;ej diesel;i.u.;i.u.;i.u.
1 701;1 800;1 807;lätt;ej diesel;i.u.;i.u.;i.u.
1 801;1 900;1 954;lätt;ej diesel;i.u.;i.u.;i.u.
1 901;2 000;2 101;lätt;ej diesel;i.u.;i.u.;i.u.
2 001;2 100;2 248;lätt;ej diesel;i.u.;i.u.;i.u.
2 101;2 200;2 395;lätt;ej diesel;i.u.;i.u.;i.u.
2 201;2 300;2 542;lätt;ej diesel;i.u.;i.u.;i.u.
2 301;2 400;2 689;lätt;ej diesel;i.u.;i.u.;i.u.
2 401;2 500;2 836;lätt;ej diesel;i.u.;i.u.;i.u.
2 501;2 600;2 983;lätt;ej diesel;i.u.;i.u.;i.u.
2 601;2 700;3 130;lätt;ej diesel;i.u.;i.u.;i.u.
2 701;2 800;3 277;lätt;ej diesel;i.u.;i.u.;i.u.
2 801;2 900;3 424;lätt;ej diesel;i.u.;i.u.;i.u.
2 901;3 000;3 571;lätt;ej diesel;i.u.;i.u.;i.u.
3 001;;3 713;lätt;ej diesel;i.u.;i.u.;i.u.
0;1 300;2 496;lätt;diesel;i.u.;i.u.;i.u.
1 301;1 400;2 665;lätt;diesel;i.u.;i.u.;i.u.
1 401;1 500;2 731;lätt;diesel;i.u.;i.u.;i.u.
1 501;1 600;2 797;lätt;diesel;i.u.;i.u.;i.u.
1 601;1 700;2 863;lätt;diesel;i.u.;i.u.;i.u.
1 701;1 800;3 061;lätt;diesel;i.u.;i.u.;i.u.
1 801;1 900;3 259;lätt;diesel;i.u.;i.u.;i.u.
1 901;2 000;3 457;lätt;diesel;i.u.;i.u.;i.u.
2 001;2 100;3 655;lätt;diesel;i.u.;i.u.;i.u.
2 101;2 200;3 853;lätt;diesel;i.u.;i.u.;i.u.
2 201;2 300;4 051;lätt;diesel;i.u.;i.u.;i.u.
2 301;2 400;4 249;lätt;diesel;i.u.;i.u.;i.u.
2 401;2 500;4 447;lätt;diesel;i.u.;i.u.;i.u.
2 501;2 600;4 645;lätt;diesel;i.u.;i.u.;i.u.
2 601;2 700;4 843;lätt;diesel;i.u.;i.u.;i.u.
2 701;2 800;5 041;lätt;diesel;i.u.;i.u.;i.u.
2 801;2 900;5 239;lätt;diesel;i.u.;i.u.;i.u.
2 901;3 000;5 437;lätt;diesel;i.u.;i.u.;i.u.
3 001;;5 642;lätt;diesel;i.u.;i.u.;i.u.
3 501;5 999;3 094;tung;diesel;2;nej;dragbil
6 000;6 999;3 426;tung;diesel;2;nej;dragbil
7 000;7 999;5 413;tung;diesel;2;nej;dragbil
8 000;8 999;6 430;tung;diesel;2;nej;dragbil
9 000;9 999;8 429;tung;diesel;2;nej;dragbil
10 000;10 999;8 857;tung;diesel;2;nej;dragbil
11 000;11 999;11 775;tung;diesel;2;nej;dragbil
12 000;12 999;13 365;tung;diesel;2;nej;dragbil
13 000;13 999;16 875;tung;diesel;2;nej;dragbil
14 000;;17 737;tung;diesel;2;nej;dragbil
7 000;7 999;1 727;tung;diesel;2;ja;dragbil
8 000;8 999;2 084;tung;diesel;2;ja;dragbil
9 000;10 999;3 423;tung;diesel;2;ja;dragbil
11 000;12 999;4 751;tung;diesel;2;ja;dragbil
13 000;;7 213;tung;diesel;2;ja;dragbil
3 501;4 999;2 669;tung;diesel;3;nej;dragbil
5 000;5 999;2 826;tung;diesel;3;nej;dragbil
6 000;6 999;3 525;tung;diesel;3;nej;dragbil
7 000;7 999;8 453;tung;diesel;3;nej;dragbil
8 000;8 999;11 021;tung;diesel;3;nej;dragbil
9 000;9 999;11 811;tung;diesel;3;nej;dragbil
10 000;10 999;15 676;tung;diesel;3;nej;dragbil
11 000;11 999;16 476;tung;diesel;3;nej;dragbil
12 000;12 999;17 486;tung;diesel;3;nej;dragbil
13 000;13 999;18 496;tung;diesel;3;nej;dragbil
14 000;14 999;19 506;tung;diesel;3;nej;dragbil
15 000;;20 015;tung;diesel;3;nej;dragbil
7 000;17 999;4 638;tung;diesel;3;ja;dragbil
18 000;19 999;6 416;tung;diesel;3;ja;dragbil
20 000;;9 491;tung;diesel;3;ja;dragbil
3 501;4 999;2 669;tung;diesel;4;nej;dragbil
5 000;5 999;2 826;tung;diesel;4;nej;dragbil
6 000;6 999;3 525;tung;diesel;4;nej;dragbil
7 000;7 999;8 453;tung;diesel;4;nej;dragbil
8 000;8 999;11 021;tung;diesel;4;nej;dragbil
9 000;9 999;11 811;tung;diesel;4;nej;dragbil
10 000;10 999;15 676;tung;diesel;4;nej;dragbil
11 000;11 999;16 476;tung;diesel;4;nej;dragbil
12 000;12 999;17 486;tung;diesel;4;nej;dragbil
13 000;13 999;18 496;tung;diesel;4;nej;dragbil
14 000;14 999;19 506;tung;diesel;4;nej;dragbil
15 000;;20 015;tung;diesel;4;nej;dragbil
7 000;17 999;4 638;tung;diesel;4;ja;dragbil
18 000;19 999;6 416;tung;diesel;4;ja;dragbil
20 000;;9 491;tung;diesel;4;ja;dragbil
3 501;;984;tung;ej diesel;i.u.;i.u.;i.u.
3 501;8 999;2 420;tung;diesel;2;nej;annan
9 000;9 999;2 547;tung;diesel;2;nej;annan
10 000;10 999;2 821;tung;diesel;2;nej;annan
11 000;11 999;3 801;tung;diesel;2;nej;annan
12 000;12 999;4 781;tung;diesel;2;nej;annan
13 000;13 999;5 261;tung;diesel;2;nej;annan
14 000;14 999;5 937;tung;diesel;2;nej;annan
15 000;15 999;6 480;tung;diesel;2;nej;annan
16 000;16 999;8 210;tung;diesel;2;nej;annan
17 000;;9 908;tung;diesel;2;nej;annan
3 501;8 999;2 420;tung;diesel;2;nej;utan
9 000;9 999;2 547;tung;diesel;2;nej;utan
10 000;10 999;2 821;tung;diesel;2;nej;utan
11 000;11 999;3 801;tung;diesel;2;nej;utan
12 000;12 999;4 781;tung;diesel;2;nej;utan
13 000;13 999;5 261;tung;diesel;2;nej;utan
14 000;14 999;5 937;tung;diesel;2;nej;utan
15 000;15 999;6 480;tung;diesel;2;nej;utan
16 000;16 999;8 210;tung;diesel;2;nej;utan
17 000;;9 908;tung;diesel;2;nej;utan
7 000;;300;tung;diesel;2;ja;annan
3 501;11 999;2 232;tung;diesel;3;nej;annan
12 000;12 999;3 041;tung;diesel;3;nej;annan
13 000;13 999;3 811;tung;diesel;3;nej;annan
14 000;14 999;4 581;tung;diesel;3;nej;annan
15 000;15 999;5 351;tung;diesel;3;nej;annan
16 000;16 999;6 711;tung;diesel;3;nej;annan
17 000;17 999;7 571;tung;diesel;3;nej;annan
18 000;18 999;8 943;tung;diesel;3;nej;annan
19 000;19 999;10 451;tung;diesel;3;nej;annan
20 000;;11 024;tung;diesel;3;nej;annan
3 501;11 999;2 232;tung;diesel;3;nej;utan
12 000;12 999;3 041;tung;diesel;3;nej;utan
13 000;13 999;3 811;tung;diesel;3;nej;utan
14 000;14 999;4 581;tung;diesel;3;nej;utan
15 000;15 999;5 351;tung;diesel;3;nej;utan
16 000;16 999;6 711;tung;diesel;3;nej;utan
17 000;17 999;7 571;tung;diesel;3;nej;utan
18 000;18 999;8 943;tung;diesel;3;nej;utan
19 000;19 999;10 451;tung;diesel;3;nej;utan
20 000;;11 024;tung;diesel;3;nej;utan
7 000;;500;tung;diesel;3;ja;annan
3 501;11 999;2 232;tung;diesel;4;nej;annan
12 000;12 999;3 041;tung;diesel;4;nej;annan
13 000;13 999;3 811;tung;diesel;4;nej;annan
14 000;14 999;4 581;tung;diesel;4;nej;annan
15 000;15 999;5 351;tung;diesel;4;nej;annan
16 000;16 999;6 711;tung;diesel;4;nej;annan
17 000;17 999;7 571;tung;diesel;4;nej;annan
18 000;18 999;8 943;tung;diesel;4;nej;annan
19 000;19 999;10 451;tung;diesel;4;nej;annan
20 000;;11 024;tung;diesel;4;nej;annan
3 501;11 999;2 232;tung;diesel;4;nej;utan
12 000;12 999;3 041;tung;diesel;4;nej;utan
13 000;13 999;3 811;tung;diesel;4;nej;utan
14 000;14 999;4 581;tung;diesel;4;nej;utan
15 000;15 999;5 351;tung;diesel;4;nej;utan
16 000;16 999;6 711;tung;diesel;4;nej;utan
17 000;17 999;7 571;tung;diesel;4;nej;utan
18 000;18 999;8 943;tung;diesel;4;nej;utan
19 000;19 999;10 451;tung;diesel;4;nej;utan
20 000;;11 024;tung;diesel;4;nej;utan
7 000;;500;tung;diesel;4;ja;annan
12 000;12 999;317;tung;diesel;2;ja;utan
13 000;13 999;879;tung;diesel;2;ja;utan
14 000;14 999;1 236;tung;diesel;2;ja;utan
15 000;;2 799;tung;diesel;2;ja;utan
12 000;16 999;552;tung;diesel;3;ja;utan
17 000;18 999;1 134;tung;diesel;3;ja;utan
19 000;20 999;1 471;tung;diesel;3;ja;utan
21 000;22 999;2 268;tung;diesel;3;ja;utan
23 000;;3 525;tung;diesel;3;ja;utan
12 000;16 999;552;tung;diesel;4;ja;utan
17 000;18 999;1 134;tung;diesel;4;ja;utan
19 000;22 999;1 471;tung;diesel;4;ja;utan
23 000;24 999;1 492;tung;diesel;4;ja;utan
25 000;26 999;2 329;tung;diesel;4;ja;utan
27 000;28 999;3 698;tung;diesel;4;ja;utan
29 000;;5 486;tung;diesel;4;ja;utan
